ZIP	LAT	LNG
Andorra	42.546.245	1.601.554
United Arab Emirates	23.424.076	53.847.818
Afghanistan	3.393.911	67.709.953
Antigua and Barbuda	17.060.816	-61.796.428
Anguilla	18.220.554	-63.068.615
Albania	41.153.332	20.168.331
Armenia	40.069.099	45.038.189
Netherlands Antilles	12.226.079	-69.060.087
Angola	-11.202.692	17.873.887
Antarctica	-75.250.973	-0.071389
Argentina	-38.416.097	-63.616.672
American Samoa	-14.270.972	-170.132.217
Austria	47.516.231	14.550.072
Australia	-25.274.398	133.775.136
Aruba	1.252.111	-69.968.338
Azerbaijan	40.143.105	47.576.927
Bosnia and Herzegovina	43.915.886	17.679.076
Barbados	13.193.887	-59.543.198
Bangladesh	23.684.994	90.356.331
Belgium	50.503.887	4.469.936
Burkina Faso	12.238.333	-1.561.593
Bulgaria	42.733.883	2.548.583
Bahrain	25.930.414	50.637.772
Burundi	-3.373.056	29.918.886
Benin	930.769	2.315.834
Bermuda	32.321.384	-6.475.737
Brunei	4.535.277	114.727.669
Bolivia	-16.290.154	-63.588.653
Brazil	-14.235.004	-5.192.528
Bahamas	2.503.428	-7.739.628
Bhutan	27.514.162	90.433.601
Bouvet Island	-54.423.199	3.413.194
Botswana	-22.328.474	24.684.866
Belarus	53.709.807	27.953.389
Belize	17.189.877	-8.849.765
Canada	56.130.366	-106.346.771
Cocos [Keeling] Islands	-12.164.165	96.870.956
Congo [DRC]	-4.038.333	21.758.664
Central African Republic	6.611.111	20.939.444
Congo [Republic]	-0.228021	15.827.659
Switzerland	46.818.188	8.227.512
C™te d'Ivoire	7.539.989	-554.708
Cook Islands	-21.236.736	-159.777.671
Chile	-35.675.147	-71.542.969
Cameroon	7.369.722	12.354.722
China	3.586.166	104.195.397
Colombia	4.570.868	-74.297.333
Costa Rica	9.748.917	-83.753.428
Cuba	21.521.757	-77.781.167
Cape Verde	16.002.082	-24.013.197
Christmas Island	-10.447.525	105.690.449
Cyprus	35.126.413	33.429.859
Czech Republic	49.817.492	15.472.962
Germany	51.165.691	10.451.526
Djibouti	11.825.138	42.590.275
Denmark	5.626.392	9.501.785
Dominica	15.414.999	-61.370.976
Dominican Republic	18.735.693	-70.162.651
Algeria	28.033.886	1.659.626
Ecuador	-1.831.239	-78.183.406
Estonia	58.595.272	25.013.607
Egypt	26.820.553	30.802.498
Western Sahara	24.215.527	-12.885.834
Eritrea	15.179.384	39.782.334
Spain	40.463.667	-374.922
Ethiopia	9.145	40.489.673
Finland	6.192.411	25.748.151
Fiji	-16.578.193	179.414.413
Falkland Islands [Islas Malvinas]	-51.796.253	-59.523.613
Micronesia	7.425.554	150.550.812
Faroe Islands	61.892.635	-6.911.806
France	46.227.638	2.213.749
Gabon	-0.803689	11.609.444
United Kingdom	55.378.051	-3.435.973
Grenada	12.262.776	-61.604.171
Georgia	42.315.407	43.356.892
French Guiana	3.933.889	-53.125.782
Guernsey	49.465.691	-2.585.278
Ghana	7.946.527	-1.023.194
Gibraltar	36.137.741	-5.345.374
Greenland	71.706.936	-42.604.303
Gambia	13.443.182	-15.310.139
Guinea	9.945.587	-9.696.645
Guadeloupe	16.995.971	-62.067.641
Equatorial Guinea	1.650.801	10.267.895
Greece	39.074.208	21.824.312
South Georgia and the South Sandwich Islands	-54.429.579	-36.587.909
Guatemala	15.783.471	-90.230.759
Guam	13.444.304	144.793.731
Guinea-Bissau	11.803.749	-15.180.413
Guyana	4.860.416	-5.893.018
Gaza Strip	31.354.676	34.308.825
Hong Kong	22.396.428	114.109.497
Heard Island and McDonald Islands	-5.308.181	73.504.158
Honduras	15.199.999	-86.241.905
Croatia	45.1	15.2
Haiti	18.971.187	-72.285.215
Hungary	47.162.494	19.503.304
Indonesia	-0.789275	113.921.327
Ireland	5.341.291	-824.389
Israel	31.046.051	34.851.612
Isle of Man	54.236.107	-4.548.056
India	20.593.684	7.896.288
British Indian Ocean Territory	-6.343.194	71.876.519
Iraq	33.223.191	43.679.291
Iran	32.427.908	53.688.046
Iceland	64.963.051	-19.020.835
Italy	4.187.194	1.256.738
Jersey	49.214.439	-213.125
Jamaica	18.109.581	-77.297.508
Jordan	30.585.164	36.238.414
Japan	36.204.824	138.252.924
Kenya	-0.023559	37.906.193
Kyrgyzstan	4.120.438	74.766.098
Cambodia	12.565.679	104.990.963
Kiribati	-3.370.417	-168.734.039
Comoros	-11.875.001	43.872.219
Saint Kitts and Nevis	17.357.822	-62.782.998
North Korea	40.339.852	127.510.093
South Korea	35.907.757	127.766.922
Kuwait	2.931.166	47.481.766
Cayman Islands	19.513.469	-80.566.956
Kazakhstan	48.019.573	66.923.684
Laos	1.985.627	102.495.496
Lebanon	33.854.721	35.862.285
Saint Lucia	13.909.444	-60.978.893
Liechtenstein	47.166	9.555.373
Sri Lanka	7.873.054	80.771.797
Liberia	6.428.055	-9.429.499
Lesotho	-29.609.988	28.233.608
Lithuania	55.169.438	23.881.275
Luxembourg	49.815.273	6.129.583
Latvia	56.879.635	24.603.189
Libya	263.351	17.228.331
Morocco	31.791.702	-709.262
Monaco	43.750.298	7.412.841
Moldova	47.411.631	28.369.885
Montenegro	42.708.678	1.937.439
Madagascar	-18.766.947	46.869.107
Marshall Islands	7.131.474	171.184.478
Macedonia [FYROM]	41.608.635	21.745.275
Mali	17.570.692	-3.996.166
Myanmar [Burma]	21.913.965	95.956.223
Mongolia	46.862.496	103.846.656
Macau	22.198.745	113.543.873
Northern Mariana Islands	1.733.083	14.538.469
Martinique	14.641.528	-61.024.174
Mauritania	2.100.789	-10.940.835
Montserrat	16.742.498	-62.187.366
Malta	35.937.496	14.375.416
Mauritius	-20.348.404	57.552.152
Maldives	3.202.778	7.322.068
Malawi	-13.254.308	34.301.525
Mexico	23.634.501	-102.552.784
Malaysia	4.210.484	101.975.766
Mozambique	-18.665.695	35.529.562
Namibia	-2.295.764	1.849.041
New Caledonia	-20.904.305	165.618.042
Niger	17.607.789	8.081.666
Norfolk Island	-29.040.835	167.954.712
Nigeria	9.081.999	8.675.277
Nicaragua	12.865.416	-85.207.229
Netherlands	52.132.633	5.291.266
Norway	60.472.024	8.468.946
Nepal	28.394.857	84.124.008
Nauru	-0.522778	166.931.503
Niue	-19.054.445	-169.867.233
New Zealand	-40.900.557	174.885.971
Oman	21.512.583	55.923.255
Panama	8.537.981	-80.782.127
Peru	-9.189.967	-75.015.152
French Polynesia	-17.679.742	-149.406.843
Papua New Guinea	-6.314.993	14.395.555
Philippines	12.879.721	121.774.017
Pakistan	30.375.321	69.345.116
Poland	51.919.438	19.145.136
Saint Pierre and Miquelon	46.941.936	-5.627.111
Pitcairn Islands	-24.703.615	-127.439.308
Puerto Rico	18.220.833	-66.590.149
Palestinian Territories	31.952.162	35.233.154
Portugal	39.399.872	-8.224.454
Palau	751.498	13.458.252
Paraguay	-23.442.503	-58.443.832
Qatar	25.354.826	51.183.884
